scor	metoda	cale	titlu_local	->	titlu_youtube	id
0.88	fuzzy	3lar/2013	25 - The Hunger Games： Ride Along a Slave	->	3lr - The Hunger Games: Ride Along a Slave	5Aq8cPh9z_4
0.88	fuzzy	3lar/2013	33 - Machete Kills Dracula's Need for Speed	->	3lr - Machete Kills Dracula's Need for Speed	3oYSm2SHNas
0.88	fuzzy	3lar/2013	39 - X-Men of the Future： Captain Charlie	->	3lr - X-Men of the Future: Captain Charlie	ey1WbUF0cFY
0.88	fuzzy	3lar/2013	42 - Welcome to the Jungle： Sabotage The Ice Soldiers	->	3lr - Welcome to the Jungle: Sabotage The Ice Soldiers	RAo9vSSb3ug
0.88	fuzzy	3lar/2014	02 - 22 Jump Str. Transcends The Other Woman	->	3lr - 22 Jump Str. Transcends The Other Woman	Ybch-aGUvMQ
0.88	fuzzy	3lar/2014	13 - Peyote's Girl： Gone with the shame!	->	3lr -- Peyote's Girl: Gone with the shame!	BgRf5eMfubw
0.88	fuzzy	3lar/2019	04 - Spider Man vs. John Wick： Pet Sematary	->	3LAR - Spider Man vs. John Wick: Pet Sematary	wIpAgrqi3jA
0.88	fuzzy	3lar/2019	06 - Dolls Play with Ugly Child's Shaft	->	3LAR - Dolls Play with Ugly Child's Shaft	OrXS4G19wuE
0.88	fuzzy	3lar/2019	13 - Annabelle, the Scary Story of the Dark Joker	->	3LAR - Annabelle, the Scary Story of the Dark Joker	K18oTF-F2fk
0.88	fuzzy	3lar/2019	17 - Crawl 21： The World of Rim Bridges	->	3LAR - Crawl 21: The World of Rim Bridges	jZAbV-iCUB4
0.88	fuzzy	3lar/2019	18 - Maleficent Chapter： Mother IT Mistress of Evil	->	3LAR - Maleficent Chapter: Mother IT Mistress of Evil	WEG3A9RZmWw
0.88	fuzzy	PIRAMIDA	01 - E ceva ce tu poti sa ai	->	Piramida - E ceva ce tu poti sa ai	9_YFjPSahh8
0.89	fuzzy	3lar/2013	19 - Captain Phillips & The Millers in The World's End	->	3lr - Captain Phillips & The Millers in The World's End	sMqGIeC_uLE
0.89	fuzzy	3lar/2018	01 - Godzilla si Arthur la un Glass de vorba	->	3LAR - Godzilla si Arthur la un Glass de vorba	SAYCZ29j6s4
0.89	fuzzy	3lar/2018	05 - Happy Men want To Train Your Death Dragon	->	3LAR - Happy Men want To Train Your Death Dragon	4Z7m0SCVeNQ
0.89	fuzzy	3lar/2019	10 - Good Boys： The Art of Booksmart Self-Defense	->	3LAR - Good Boys: The Art of Booksmart Self-Defense	XxE1Ztfd92Y
0.89	fuzzy	CODIN&RAMO/ALTCEVA	02 - Cum sa nu pierzi timpul cu un cartof	->	ALTCEVA - Cum sa nu pierzi timpul cu un cartof	PEsnZUyKuHk
0.89	fuzzy	CODIN&RAMO/Conferinte	Codin Pop Conferinta Anului Viitor	->	Codin - Conferinta Anului Viitor	LKiFZA-m1_U
0.89	fuzzy	CSP/Gameplay	Overwatch： Junkenstein's Revenge	->	Codin - Overwatch: Junkenstein's Revenge	vu1X5YEGHYQ
0.89	fuzzy	CSP/ZOOT SUIT	01 - IOBAGG X CSP - VIN	->	IOBAGG X CSP - VIN	u_CeXQrFOOU
0.89	fuzzy	CSP/ZOOT SUIT	03 - CSP(IOBAGG) - ZOOT SUIT	->	CSP(IOBAGG) - ZOOT SUIT	zTIL_CxNPVc
0.89	fuzzy	IOBAGG/PUBG	Player Unknown's BATTLEGROUNDS	->	IOBAGG - Player Unknown's BATTLEGROUNDS	GhHsLc8E4-E
0.89	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P2	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P2	-9djn9dYGJs
0.89	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P3	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P3	8dea9kIX8Es
0.89	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P4	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P4	5O0NpczR3K0
0.89	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P5	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P5	b1gyV0YVGZ8
0.89	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P6	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P6	BaAUEsb81Fg
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P1	->	IOBAGG - Resident Evil Biohazard P1	N43VhXAXfgs
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P2	->	IOBAGG - Resident Evil Biohazard P2	8D1vXP40W_M
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P3	->	IOBAGG - Resident Evil Biohazard P3	NUE6l6xizkk
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P4	->	IOBAGG - Resident Evil Biohazard P4	zD0S0W0WxHY
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P5	->	IOBAGG - Resident Evil Biohazard P5	Se0Rf3rTikI
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P6	->	IOBAGG - Resident Evil Biohazard P6	WOFSV_3fr5M
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P7	->	IOBAGG - Resident Evil Biohazard P7	mJtrSoKyxAI
0.89	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P8	->	IOBAGG - Resident Evil Biohazard P8	R3GtgDz_fD4
0.89	fuzzy	RObotzi/Extras	S01 Ep3.14 ZDA	->	RObotzi.S01.Ep3.14.ZDA	O_jrhK62UEA
0.90	fuzzy	3lar/2018	02 -  La Llorona il apara pe Kid Arthur de Aquaman	->	3LAR - La Llorona il apara pe Kid Arthur de Aquaman	Zh-mWKNhUpc
0.90	fuzzy	3lar/2019	12 - Dora's Toy Story： Time is Gold in Hollywood	->	3LAR - Dora's Toy Story: Time is Gold in Hollywood	sXk9uOtkPY4
0.90	fuzzy	CODIN&RAMO/DPS	DPS #11 - Fara de Bărbi, cu fofilari, desene si reactii	->	DPS #11 - Fara de Brbi, cu fofilari, desene si reactii	aOEpOm3N0mM
0.91	fuzzy	CSP/Gameplay	Codin-n BATTLEGROUNDS SoloRun 8Killz1Cup	->	DePeStream - Codin-n BATTLEGROUNDS SoloRun 8Killz1Cup	KNUprYI5Mc4
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 01	->	IOBAGG - League of Legends Momente 01	ZKMQEMuir6g
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 02	->	IOBAGG - League of Legends Momente 02	Ubafo68NL0M
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 03	->	IOBAGG - League of Legends Momente 03	1bwpcMFsmIA
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 04	->	IOBAGG - League of Legends Momente 04	y2t2f9HWM2c
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 05	->	IOBAGG - League of Legends Momente 05	mWrFgv5iZJs
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 06	->	IOBAGG - League of Legends Momente 06	b587pTDhglY
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 07	->	IOBAGG - League of Legends Momente 07	I9bBRsMtN1E
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 08	->	IOBAGG - League of Legends Momente 08	gI-e3xPiDKg
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends Momente 09	->	IOBAGG - League of Legends Momente 09	LdVFuS9WLgM
0.91	fuzzy	IOBAGG/LOL MOMENTE	League of Legends MOMENTE 10	->	IOBAGG - League of Legends MOMENTE 10	3jiwx-Kxr_Y
0.91	fuzzy	IOBAGG/LOL MOMENTE	League Of Legends MOMENTE 11	->	IOBAGG - League Of Legends MOMENTE 11	cgS-Qbm30cQ
0.91	fuzzy	IOBAGG/O ORA DE	O ORA DE： Devil Daggers	->	IOBAGG - O ORA DE: Devil Daggers	wcakJKd59VE
0.91	fuzzy	IOBAGG/O ORA DE	O ORA DE： Hotline Miami	->	IOBAGG - O ORA DE: Hotline Miami	ccH41HJZ6_U
0.91	fuzzy	IOBAGG/PUBG	Player Unknown's BATTLEGROUNDS P7	->	IOBAGG - Player Unknown's BATTLEGROUNDS P7	pkD4ijfAQ5k
0.91	fuzzy	IOBAGG/PUBG	PUBG - TUPEU DE POET 2	->	IOBAGG - PUBG - TUPEU DE POET 2	FGul1HEv5Pg
0.91	fuzzy	IOBAGG/PUBG	PUBG - TUPEU DE POET 3	->	IOBAGG - PUBG - TUPEU DE POET 3	ZQyPMK0epZQ
0.91	fuzzy	IOBAGG/PUBG	PUBG - Tupeu De Poet 4	->	IOBAGG - PUBG - Tupeu De Poet 4	cpLZW2q_O6c
0.91	fuzzy	IOBAGG/RESIDENT EVIL BIOHAZARD	Resident Evil Biohazard P9 FINAL	->	IOBAGG - Resident Evil Biohazard P9 FINAL	F6rjoqDsZxM
0.92	fuzzy	CSP/Gameplay	Deschidem 50 de Halloween LootBoxes (Overwatch)	->	Codin - Deschidem 50 de Halloween LootBoxes (Overwatch)	EcixYRz18vk
0.92	fuzzy	CSP/Gameplay	Heroes of the Storm - Prezentare(ish)	->	Codin - Heroes of the Storm - Prezentare(ish)	KI3J8jqoMxI
0.92	fuzzy	CSP/ZOOT SUIT	04 - IOBAGG X NJRAMO - SEFU-I SEF	->	IOBAGG X NJRAMO - SEFU-I SEF	RjZ0N8miJrU
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： 10 Second Ninja	->	IOBAGG - O ORA DE: 10 Second Ninja	5gvLDWs4efM
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： Enter the Gungeon	->	IOBAGG - O ORA DE: Enter the Gungeon	ajwzRIrUP_8
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： HOTLINE MIAMI 2	->	IOBAGG - O ORA DE: HOTLINE MIAMI 2	DAVUCgneqj8
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： I am Bread	->	IOBAGG - O ORA DE: I am Bread	TqPMtjXVGW0
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： Risk of Rain	->	IOBAGG - O ORA DE: Risk of Rain	dGSP9rDsVCc
0.92	fuzzy	IOBAGG/O ORA DE	O ORA DE： Super Meat Boy	->	IOBAGG - O ORA DE: Super Meat Boy	g8YTxCcqMIQ
0.92	fuzzy	IOBAGG/PUBG	Campion Pa State #1 -  PUBG P9	->	IOBAGG - Campion Pa State #1 -  PUBG P9	P_bLHl3seYY
0.92	fuzzy	IOBAGG/PUBG	Campion Pa State #2 - PUBG P10	->	IOBAGG - Campion Pa State #2 - PUBG P10	Vt-Ck6A5OYQ
0.92	fuzzy	IOBAGG/PUBG	Campion Pa State #3 - PUBG P11	->	IOBAGG - Campion Pa State #3 - PUBG P11	2Ht7V2EVT4c
0.92	fuzzy	IOBAGG/PUBG	Campion Pa State 4 - PUBG P12	->	IOBAGG - Campion Pa State 4 - PUBG P12	Oa1VK2ODQK8
0.92	fuzzy	IOBAGG/PUBG	PUBG P13 Munca Campului pe EU	->	IOBAGG - PUBG P13 Munca Campului pe EU	xLP8rh7lsMU
0.93	fuzzy	CSP/Gameplay	Codin in BATTLEGROUNDS： Singur Pe Locu 2!	->	DePeStream - Codin in BATTLEGROUNDS: Singur Pe Locu 2!	X8D4lG4AGhA
0.93	fuzzy	CSP/Gameplay	Deschidem 50 de Loot Boxes in Overwatch	->	Codin - Deschidem 50 de Loot Boxes in Overwatch	Sez3lTnrO7Q
0.93	fuzzy	IOBAGG/PUBG	PlayerUnknown's BATTLEGROUNDS P8 Dubla de ZiuaLuCopil	->	IOBAGG - PlayerUnknown's BATTLEGROUNDS P8 Dubla de ZiuaLuCopil	vDZ04yzI9LY
0.93	fuzzy	IOBAGG/PUBG	PUBG P16 - Tupeu de Poet pe Asia	->	IOBAGG - PUBG P16 - Tupeu de Poet pe Asia	a5jNT2acaZs
0.94	fuzzy	IOBAGG/PUBG	PUBG P14 Locu 2 nu-i pentru noi	->	IOBAGG - PUBG P14 Locu 2 nu-i pentru noi	0b5sAFGcxk4
0.96	fuzzy	IOBAGG/PUBG	 Profesorul PipiBanana te-nvata cum sa iesi pe geam in PUBG	->	IOBAGG -  Profesorul PipiBanana te-nvata cum sa iesi pe geam in PUBG	5TZU_hAdjdc
0.96	fuzzy	IOBAGG/PUBG	PUBG P15 Campion Asia si-Asia (edit： evenimentul s-a mutat in ianuarie)	->	IOBAGG - PUBG P15 Campion Asia si-Asia (edit: evenimentul s-a mutat in ianuarie)	ReHUG14Uy10
1.00	fuzzy	CODIN&RAMO/Conferinte	Codin - Conferinta Anului Viitor	->	Codin - Conferinta Anului Viitor	LKiFZA-m1_U
1.00	fuzzy	CODIN&RAMO/Conferinte	Codin la Conferinta Anului Viitor 2	->	Codin la Conferinta Anului Viitor 2	4H1OH69C__M
1.00	fuzzy	CODIN&RAMO/DPS	DPS #1 - De Pe Stream： Random Clipe si Pedepse	->	DPS #1 - De Pe Stream: Random Clipe si Pedepse	rExmRZt_BwE
1.00	fuzzy	CODIN&RAMO/DPS	DPS #2 - Primul Strudel Uman, Pirueta Neagra si Mamaliga Secreta!	->	DPS #2 - Primul Strudel Uman, Pirueta Neagra si Mamaliga Secreta!	gmW7uOjrHto
1.00	fuzzy	CODIN&RAMO/DPS	DPS #3 - Cand te speli pe dinti cu Mustar nu esti un Raton!	->	DPS #3 - Cand te speli pe dinti cu Mustar nu esti un Raton!	3ovWhpBmCVM
1.00	fuzzy	CODIN&RAMO/DPS	DPS #4 - Reactie cu Avioane despre Sex in Nisip si Sunete Speciale	->	DPS #4 - Reactie cu Avioane despre Sex in Nisip si Sunete Speciale	Y6JC2mu7i2g
1.00	fuzzy	CODIN&RAMO/DPS	DPS #5 - Reclame la Detergent, Inregistrari la Castravete, Nemorts in Tendinte	->	DPS #5 - Reclame la Detergent, Inregistrari la Castravete, Nemorts in Tendinte	ZmVFcg-BpeY
1.00	fuzzy	CODIN&RAMO/DPS	DPS #6 - Ce sa faci cand auzi Voci, tutorial Anti Depresie 2020	->	DPS #6 - Ce sa faci cand auzi Voci, tutorial Anti Depresie 2020	OQDaMxRV9A4
1.00	fuzzy	CODIN&RAMO/DPS	DPS #7 - Tragerea pe Fundick, Halatul Maro, Apa Dura si Mima Praf	->	DPS #7 - Tragerea pe Fundick, Halatul Maro, Apa Dura si Mima Praf	F1unXUAZNRs
1.00	fuzzy	CODIN&RAMO/DPS	DPS #8 - Sculptura-n Dovleac, Hello-Win-u, Usa, Spirtu si Puiu	->	DPS #8 - Sculptura-n Dovleac, Hello-Win-u, Usa, Spirtu si Puiu	n99ydg-WFpk
1.00	fuzzy	CODIN&RAMO/DPS	DPS #9 - Imnul la Kazoo █▬█ █ ▀█▀ feat. Nu Mor F00t Dop Inca (2020)	->	DPS #9 - Imnul la Kazoo    feat. Nu Mor F00t Dop Inca (2020)	mEGNIImgejw
1.00	fuzzy	CODIN&RAMO/DPS	DPS #10 - Sarbautori Fericite Peeps!	->	DPS #10 - Sarbautori Fericite Peeps!	uF0ROhv6xRU
1.00	fuzzy	CODIN&RAMO/DPS	DPS #12 - Cei mai Saritori Jugadori	->	DPS #12 - Cei mai Saritori Jugadori	JNEF6mQNUn4
1.00	fuzzy	CODIN&RAMO/DPS	DPS #13 - Sa fluieram cu Fetzele	->	DPS #13 - Sa fluieram cu Fetzele	nbtsadUMXmo
1.00	fuzzy	CODIN&RAMO/DPS	DPS #14 - Survivorii Survivand	->	DPS #14 - Survivorii Survivand	GtTdbN-HA8I
1.00	fuzzy	CODIN&RAMO/DPS	DPS #15 - Stam Acasa si invatzam LOL	->	DPS #15 - Stam Acasa si invatzam LOL	TmrlHO6Cwjk
1.00	fuzzy	CODIN&RAMO/DPS	DPS #16 - Aventuri Culinare In Carantina	->	DPS #16 - Aventuri Culinare In Carantina	ommdaeDNkY0
1.00	fuzzy	CODIN&RAMO/DPS	DPS #17 - Editie DUBLA!	->	DPS #17 - Editie DUBLA!	Lk2w35zxtsc
1.00	fuzzy	CODIN&RAMO/DPS	DPS #18 - Cum sa-ti omori prietenii？	->	DPS #18 - Cum sa-ti omori prietenii?	dl4VqosBAf8
1.00	fuzzy	CODIN&RAMO/DPS	DPS #19 - CLOUT Testoasa Departe	->	DPS #19 - CLOUT Testoasa Departe	47CltzfzaHM
1.00	fuzzy	CODIN&RAMO/DPS	DPS #20 - Rechinu Superliminal Pictural	->	DPS #20 - Rechinu Superliminal Pictural	p1Tx3yymA-I
1.00	fuzzy	CODIN&RAMO/DPS	DPS #21 - Clipe din Streamul Caritabil	->	DPS #21 - Clipe din Streamul Caritabil	Dhggs6idiXA
1.00	fuzzy	CODIN&RAMO/DPS	DPS #22 - HAHAOS	->	DPS #22 - HAHAOS	x84TXlGJohs
1.00	fuzzy	CODIN&RAMO/DPS	DPS #23 - SCHMUTZ si skinuri	->	DPS #23 - SCHMUTZ si skinuri	GjAJ98h7dq8
1.00	fuzzy	CODIN&RAMO/DPS	DPS #24 - Ardem parchetu, fierbem vinu si facem shoutout catre streameri care ne plac	->	DPS #24 - Ardem parchetu, fierbem vinu si facem shoutout catre streameri care ne plac	gv95oPTABAc
1.00	fuzzy	CODIN&RAMO/DPS	DPS #25 - Si Jeleuri Picante	->	DPS #25 - Si Jeleuri Picante	glNq-D7IaZs
1.00	fuzzy	CODIN&RAMO/DPS	DPS #26 - COSMARURI DIN DESENE	->	DPS #26 - COSMARURI DIN DESENE	0vYRMzGqJok
1.00	fuzzy	CODIN&RAMO/DPS	DPS #27 - EXPERIMENTE COOLINARE	->	DPS #27 - EXPERIMENTE COOLINARE	QhBtC7ZgnPM
1.00	fuzzy	CODIN&RAMO/DPS	DPS #28 - Cu React, Povesti din State, Foto si Quick	->	DPS #28 - Cu React, Povesti din State, Foto si Quick	W1e-bOMdH58
1.00	fuzzy	CODIN&RAMO/DPS	DPS #30 Ciupercogirafa presedinte!	->	DPS #30 Ciupercogirafa presedinte!	6rbfYB9HL-0
1.00	fuzzy	CODIN&RAMO/DPS	DPS #31 Winter Recap!	->	DPS #31 Winter Recap!	6ZkfWp25hQs
1.00	fuzzy	CODIN&RAMO/DPS	DPS 32 - HaOsArE pe doua mii douaj doi	->	DPS 32 - HaOsArE pe doua mii douaj doi	V6ZtUDjlcRY
1.00	fuzzy	CODIN&RAMO/DPS	DPS 33 - Poezia de pe Elden Rift	->	DPS 33 - Poezia de pe Elden Rift	TNY_VYnZpr8
1.00	fuzzy	CODIN&RAMO/DPS	DPS 34 -  Mult prea picant 🔥	->	DPS 34 -  Mult prea picant 	N4teAvbedPM
1.00	fuzzy	CODIN&RAMO/DPS	DPS 35 - Call of Dovleci： Warzone 3	->	DPS 35 - Call of Dovleci: Warzone 3	kehI2eHT0J4
1.00	fuzzy	CODIN&RAMO/Educational	28	->	28	W5wD5jaQQGw
1.00	fuzzy	CODIN&RAMO/Educational	CM la RedSchool Brains and Talents	->	CM la RedSchool Brains and Talents	heLh9S36umc
1.00	fuzzy	CODIN&RAMO/Educational	Concurs Imagineaza-ti asta	->	CONCURS: IMAGINEAZA-TI ASTA!	Mui4yI2UqbQ
1.00	fuzzy	CODIN&RAMO/Educational	Concurs SuperCoders	->	Concurs SuperCoders	kRDBimU25n8
1.00	fuzzy	CODIN&RAMO/Educational	CONCURS： IMAGINEAZA-TI ASTA!	->	CONCURS: IMAGINEAZA-TI ASTA!	Mui4yI2UqbQ
1.00	fuzzy	CODIN&RAMO/Educational	Despre Conflictul din Siria	->	Despre Conflictul din Siria	x9SS3XK2oMA
1.00	fuzzy	CODIN&RAMO/Educational	RObotzi.Special.Acta	->	RObotzi.Special.Acta	5bQV_pdr2lI
1.00	fuzzy	CODIN&RAMO/Educational	Update Imagineaza-ti asta	->	Update "Imagineaza-ti asta"	LqPNv74d7Is
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea - 13.04.2016	->	La Cafea - 13.04.2016	tMBznb1PKx4
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 04.05.2016	->	La Cafea 04.05.2016	HUSdVEyTIyM
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 05 05 2016	->	La Cafea 05 05 2016	hxO25TDzt-0
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 09.05.2016	->	La Cafea 09.05.2016	NZhVSA1Dzeg
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 14.04.2016	->	La Cafea 14.04.2016	b1PCnZY0n5U
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 15.04.2016	->	La Cafea 15.04.2016	HpG96_JZjHo
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 18.04.2016	->	La Cafea 18.04.2016	lxzTB3ymhKY
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 18.05.2016	->	La Cafea 18.05.2016	-FPIjEpa0KQ
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 19.04.2016	->	La Cafea 19.04.2016	0eQZzUGJrn0
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 21.04.2016	->	La Cafea 21.04.2016	ZOGb0v3jimY
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 22.04.2016	->	La Cafea 22.04.2016	7jBgPUc-3Xw
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 26.04.2016	->	La Cafea 26.04.2016	pDiDJtGPXvk
1.00	fuzzy	CODIN&RAMO/LaCafea	La Cafea 27.04.2016	->	La Cafea 27.04.2016	k7_rq3VmR6U
1.00	fuzzy	CODIN&RAMO/Q&A	IOBAGG - Q&A Dezvirginam 33 de intrebari	->	IOBAGG - Q&A Dezvirginam 33 de intrebari	A4nGpoSoS9I
1.00	fuzzy	CODIN&RAMO/Q&A	Q & A ❌ 30.334 de € caritate ❌ Suspendare ❌ Podcast	->	Q & A  30.334 de � caritate  Suspendare  Podcast	Z-Hh0EcSjUg
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A - IN PREUNA	->	Q&A - IN PREUNA	H6yJoKTAPBY
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A - Ramo isi arata pisicuta la camera X Parere 5gang the movie	->	Q&A - Ramo isi arata pisicuta la camera X Parere 5gang the movie	LyZ4AKIw_Y8
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A 4K █▬█ █ ▀█▀ OFFICIAL MO SI FOCA ARATA CA OAMENI! Do you need a website？	->	Q&A 4K    OFFICIAL MO SI FOCA ARATA CA OAMENI! Do you need a website?	-B-LsBZ7uvU
1.00	fuzzy	CODIN&RAMO/Q&A	Q&A-ul ala cu teaser videoclip	->	Q&A-ul ala cu teaser videoclip	uOd9sik0cXA
1.00	fuzzy	CSP/Gameplay	Codin prin PUBG - DUO Boostat #1	->	Codin prin PUBG - DUO Boostat #1	TiE5jLWGy_A
1.00	fuzzy	IOBAGG/OUTLAST/OUTLAST2	IOBAGG joaca MINECRAFT 2	->	IOBAGG joaca MINECRAFT 2	vqwC4mC6NXI
1.00	fuzzy	IOBAGG/OUTLAST/OUTLAST2	IOBAGG joaca MINECRAFT P2	->	IOBAGG joaca MINECRAFT P2	xgffRxS4_0U
1.00	fuzzy	IOBAGG/PUBG	PUBG MOMENTE si Tutorial Shadowplay Highlights	->	PUBG MOMENTE si Tutorial Shadowplay Highlights	TMKS4m5iTWY
1.00	fuzzy	IOBAGG/Songs	IOBAGG - CABANA PUERCO RICO	->	IOBAGG - CABANA PUERCO RICO	AvEB15_y5K4
1.00	fuzzy	IOBAGG/Songs	IOBAGG - DUPA GEAMANDURA	->	IOBAGG - DUPA GEAMANDURA	s0T2bKcckDs
1.00	fuzzy	IOBAGG/Songs	IOBAGG - LENE	->	IOBAGG - LENE	HfwJfQTsCxs
1.00	fuzzy	IOBAGG/Songs	IOBAGG feat. Ninja Ramo - KKTGRS	->	IOBAGG feat. Ninja Ramo - KKTGRS	csc9Hi5nfv8
1.00	fuzzy	IOBAGG/Songs	IOBAGG X CSP - VIN	->	IOBAGG X CSP - VIN	u_CeXQrFOOU
1.00	fuzzy	IOBAGG/Songs	IOBAGG X MO X BAZOOKA - BE CU MINE	->	IOBAGG X MO X BAZOOKA - BE CU MINE	p3VhAqf8KW0
1.00	fuzzy	IOBAGG/Songs	IOBAGG x NJRAMO - IOBAGG	->	IOBAGG x NJRAMO - IOBAGG	9zOm209X7m0
1.00	fuzzy	MiEZ	MiEZ Classic 01	->	MiEZ Classic 01	cmISV9SXlHE
1.00	fuzzy	MiEZ	MiEZ Classic 02	->	MiEZ Classic 02	5ySWXpLAGTE
1.00	fuzzy	MiEZ	MiEZ Classic 04	->	MiEZ Classic 04	WsywAAZUz5Y
1.00	fuzzy	MiEZ	MiEZ Classic 05	->	MiEZ Classic 05	pK1IDe-Y_UU
1.00	fuzzy	MiEZ	MiEZ Classic 06	->	MiEZ Classic 06	YLGWbS6Tjuc
1.00	fuzzy	MiEZ	MiEZ Classic 07	->	MiEZ Classic 07	ueyn1MVqzbY
1.00	fuzzy	MiEZ	MiEZ Classic 08	->	MiEZ Classic 08	hbBI7ARBFow
1.00	fuzzy	MiEZ	MiEZ CM la Comic Con	->	MiEZ - CM la Comic Con	zrK3Kg1p-TI
1.00	fuzzy	MiEZ	MiEZ Gamescom	->	MiEZ Gamescom	v5aQtLzEeco
1.00	fuzzy	MiEZ	MiEZ Informativ	->	MiEZ Informativ	7Ntbk0HUzlE
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 01	->	Monstrii Recomand 01	IwStiv8kBN8
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 02	->	Monstrii Recomand 02	RLh_DrFwtkw
1.00	fuzzy	MONSTRII Recomand	Monstrii Recomand 03	->	Monstrii Recomand 03	EP2Bil9C_vg
1.00	fuzzy	NinjaRamo/Gameplay	NinjaRamo vs. 5 Nights at Freddy's 3	->	NinjaRamo vs. 5 Nights at Freddy's 3	JmIGCiFmWio
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG feat. Ninja Ramo - KKTGRS	->	IOBAGG feat. Ninja Ramo - KKTGRS	csc9Hi5nfv8
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG x NJRAMO - IOBAGG	->	IOBAGG x NJRAMO - IOBAGG	9zOm209X7m0
1.00	fuzzy	NinjaRamo/Muzica	IOBAGG X NJRAMO - SEFU-I SEF	->	IOBAGG X NJRAMO - SEFU-I SEF	RjZ0N8miJrU
1.00	fuzzy	NinjaRamo/Muzica	MO - Ciue Fatza Ai	->	MO - Ciue Fatza Ai	N84F3xi3jEc
1.00	fuzzy	NinjaRamo/Muzica	MO (feat.Pufoshenia) - Ler is MOre	->	MO (feat.Pufoshenia) - Ler is MOre	KmD0HuEPL-o
1.00	fuzzy	PIRAMIDA	25 - Piramida 25 - Blestemu Continua	->	Piramida 25 - Blestemu Continua	WSyS5qb8DW0
1.00	fuzzy	PIRAMIDA	26 - Piramida 26 - APA	->	Piramida 26 - APA	ETKCC1vR9SI
1.00	ep	RObotzi/Sezonul 1	s01e00	->	Robotzi S01 Ep 0 Tatuaj	Rtog93HyR3k
1.00	ep	RObotzi/Sezonul 1	s01e01	->	RObotzi.S01.Ep.1.Vin	2iCLCJifhfQ
1.00	ep	RObotzi/Sezonul 1	s01e02	->	RObotzi.S01.Ep2.Defect	teV8-IGhSt8
